date,region,index,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests,new_tests,new_cases,new_deaths
2020-07-05,CT,129,1.0306118837414,1.03045172828965,0.91815474523914,1.1433064818808,52.6836830382746,53.2571172450053,0,0,24542,24542,0,0
2020-07-06,CT,130,1.03193889322505,1.03152976808036,0.913884107412091,1.16146116235205,52.9726195215261,53.1000744023613,188.532674732478,259,5945,5945,259,3
2020-07-07,CT,131,1.03145306152137,1.03089766599569,0.920115579524089,1.16427126165063,53.2802364189277,53.0018336186078,33.7301293054686,57,7313,7313,57,0
2020-07-08,CT,132,1.03272470065699,1.03016018486173,0.918970350514556,1.17053471799652,53.6076269023429,52.9557169219882,39.6922748033463,75,8177,8177,75,5
2020-07-09,CT,133,1.03520418394038,1.03595917367087,0.916733804216652,1.1699074443589,53.9459059897764,52.9559392073596,35.1378051159131,101,12439,12439,101,5
2020-07-10,CT,134,1.03612071984708,1.03865161671754,0.899833266384079,1.16199821242168,54.2984438489879,52.9965635255506,105.55248141269,78,19,19,78,0
2020-07-11,CT,135,1.03747263319687,1.03788008757062,0.894735672901891,1.17453066152868,54.6831975796217,53.072338290066,0,0,0,-73,0,0
2020-07-12,CT,136,1.0384033550844,1.03983300814553,0.880533948404708,1.16902951402122,55.1005464541304,53.1793388792587,0,0,31006,31006,0,0
2020-07-13,CT,137,1.03931014148428,1.03700024452521,0.891603753343188,1.18432599941724,55.5465447453539,53.3148827045836,301.771837884999,223,2586,2586,223,23
2020-07-14,CT,138,1.0393403972127,1.0349797972224,0.903727571573943,1.1951727975401,56.0230765970395,53.4771162170257,7.12759024001676,20,12143,12143,20,1
2020-07-15,CT,139,1.04052476990216,1.03682729109117,0.879456606675223,1.1817729557177,56.5312512950594,53.6641646144112,39.7673810063263,106,11535,11535,106,8
2020-07-16,CT,140,1.0420434465504,1.03878800525712,0.89296101723193,1.2108044553307,57.0661585981237,53.8743780258924,34.2001297207476,114,14425,14425,114,9
2020-07-17,CT,141,1.04328417082711,1.04166470171564,0.878179730608776,1.20999553323445,57.6330384809928,54.1076576912973,0,0,0,25,143,7
2020-07-18,CT,142,1.0438923254101,1.03877500677247,0.879393200958689,1.21507058570702,58.2457188798666,54.3647623385897,0,0,0,-139,0,0
2020-07-19,CT,143,1.0436755838098,1.03914998825269,0.847162415608656,1.18502418676858,58.909220876896,54.6465038936146,0,0,27162,27162,0,0
2020-07-20,CT,144,1.04210994835449,1.03942695590971,0.829411684656374,1.19133042168001,59.6162880742601,54.9538724981982,123.752455270016,162,5665,5665,162,10
2020-07-21,CT,145,1.04159168050076,1.04225090558708,0.828900227479522,1.19748561663927,60.3539259818153,55.2879362917559,0,0,0,41,41,0
2020-07-22,CT,146,1.04185434769679,1.04225996459121,0.853228565654649,1.22694418389549,61.1142780041515,55.6494050231599,47.5057986521501,127,11569,11569,127,0
2020-07-23,CT,147,1.04412880101635,1.03821157271449,0.856233738679758,1.24415629509727,61.904472544954,56.0391048537088,2.88886275983056,9,13482,13482,9,4
2020-07-24,CT,148,1.04523900902277,1.03596319229057,0.813648982848114,1.20551998420548,62.7416498377699,56.4586630698321,93.4787535474523,544,25184,25184,544,3
2020-07-25,CT,149,1.04562349363069,1.04386247275912,0.816053038441798,1.22151424938711,63.6520966557245,56.9104715965326,0,0,0,0,0,0
2020-07-26,CT,150,1.04350612575037,1.03385243218141,0.841834973354682,1.25704874467936,64.6451923046788,57.3967658576176,0,0,0,0,0,0
2020-07-27,CT,151,1.04586239411174,1.03907757914012,0.806556597813352,1.22756993890327,65.7072110818037,57.9185971580267,28.0120046825985,207,31979,31979,207,5
2020-07-28,CT,152,1.04643320874181,1.03843249499362,0.803892410998897,1.23652951515797,66.822080881837,58.4756564304236,53.2652275680582,94,7637,7637,94,5
2020-07-29,CT,153,1.04782721168618,1.03504573174206,0.821744608911731,1.26518728152319,68.0212944274677,59.0674478015897,153.089860925024,463,13088,13088,463,2
2020-07-30,CT,154,1.0478524307975,1.03811671115317,0.807048740042509,1.25723362485209,69.3345639745817,59.6946463806575,43.4355415263591,130,12952,12952,130,6
2020-07-31,CT,155,1.04838307347575,1.03822628664101,0.8059301286792,1.27366525275184,70.7641656611732,60.3601746101704,39.6811827345864,140,15268,15268,140,1
2020-08-01,CT,156,1.0496308586629,1.03787712997194,0.769275747128005,1.25576580861481,72.3081111146507,61.0686235620944,0,0,0,0,0,0
2020-08-02,CT,157,1.04903166994225,1.03846647279063,0.832763795731381,1.31655444267268,73.9717898341578,61.8243216921017,0,0,0,0,0,0
