state,date,reported_cases,predicted_infections_mean,predicted_infections_lower_CI_95,predicted_infections_higher_CI_95_cumulative,reported_deaths,estimated_deaths_mean,estimated_deaths_lower_CI_95,estimated_deaths_higher_CI_95,mean_time_varying_reproduction_number_R.t.,time_varying_reproduction_number_R.t._lower_CI_95,time_varying_reproduction_number_R.t._higher_CI_95,mean_infectious_individuals,infectious_individuals_lower_CI_95,infectious_individuals_higher_CI_95
CT,2020-03-26,137,8968.81757501418,5863.38472867371,12992.5580700098,2,7.50299264445316,4.68449905843658,11.4808644980494,1.75637730974872,1.29300809685786,2.29719272607043,43362.8163734976,30374.0961660476,60288.3936771092
CT,2020-03-27,279,9479.53430556547,5994.99255399174,14122.1520906023,6,9.1382591963791,5.87651589686644,13.7121399557946,1.71316985312939,1.25742168677399,2.24940977528425,46822.5808163425,32920.6105794259,64784.2353627688
CT,2020-03-28,233,8965.82374765177,6423.91448383567,12398.8609208073,6,11.0059684253918,7.24247208309133,16.2580579338182,1.50897962308932,1.13701271911484,1.9465672888102,50722.318832601,35704.2777308861,69822.6740942026
CT,2020-03-29,469,7326.84185823183,5111.36449431354,10200.3181348855,1,13.10889420856,8.8643276675306,19.1463400131005,1.14028491335884,0.83849664543757,1.50577538856376,54868.3028732935,38358.6256700529,75481.3765630351
CT,2020-03-30,578,9389.0188138785,6462.0423866375,13289.1470775992,2,15.4420441285867,10.6349024295338,22.1456763882225,1.36648009327122,1.02469974617714,1.77249123203489,58529.1497807786,41056.4440311779,80347.5900487747
CT,2020-03-31,557,9842.79243032158,6651.49483880423,14100.7092343918,33,17.9912437468619,12.6170755957691,25.4553778141498,1.36273791947588,1.02163875352868,1.76686708372874,61386.1634483793,43400.4556505942,84229.5519041719
CT,2020-04-01,429,10247.3951359181,6774.35027630709,14912.7823277898,16,20.7559316247983,14.8070280912137,28.8919720450451,1.35435788777528,1.01582898412,1.75575081271123,64135.6394226681,45799.1599863005,87195.8330361322
CT,2020-04-02,267,10723.5601054502,6918.86261063484,15994.3453754794,27,23.711308726658,17.1542315503343,32.3511096896403,1.35270795552973,1.01708186018347,1.75567169751244,67005.551185007,48028.7456166871,91577.9412168102
CT,2020-04-03,1090,11218.3369346285,7030.80264275505,17061.250922766,19,26.8461633076278,19.6772437601572,36.2382098053057,1.34989399153962,1.01494996443463,1.74768566808012,70039.539456452,49878.070165974,96451.4396119297
CT,2020-04-04,362,9074.01989116289,6296.41126195574,12591.2606608016,34,30.1480029694053,22.3523275562845,40.1756557184474,1.05621898301697,0.77867169222776,1.38741306446362,73247.9607641227,51658.4909435053,101762.586700962
CT,2020-04-05,399,9470.63006564834,6527.41648684661,13237.0554897329,24,33.5787999871623,25.2477322991365,44.391818337635,1.05888679402482,0.784367000154846,1.37889416493074,76218.3234774849,53158.8028567466,106355.830937622
CT,2020-04-06,1231,9683.92421888112,6553.42098515041,13703.947321853,17,37.1155580594285,28.1676772316481,48.6962636344995,1.05310710153416,0.777816434428495,1.37597843083561,78253.0569103203,54471.7518445595,109633.16774936
CT,2020-04-07,875,9848.03087411018,6545.60915016226,14163.8383309117,71,40.7376767933098,31.166138713505,53.0161385243578,1.0512456603542,0.777675032760095,1.37008551746425,79551.7605925392,55894.7353323711,110776.449601638
CT,2020-04-08,0,9977.26395201859,6487.79770113153,14579.3442566316,49,44.429952155294,34.2932185393665,57.3532860162764,1.0509666154784,0.779900648627674,1.36433550994714,80415.8560183283,56726.2036569567,111742.584306147
CT,2020-04-09,2003,10067.0606997592,6367.68930952591,15121.419713788,54,48.1658065777963,37.4060231843437,61.738995252403,1.04904305089909,0.778718656531894,1.36398965021494,81068.4380904541,57259.5858175067,112261.326808035
